q1_experience	q2_country	q2_region	q3_ecosystem	q4_field	q5_organisms	q6_functions	q7_trait	q8_body_size	q9_enzymatic	q10_chla	q11_growth_form	q12_nutrient_uptake	q13_om_decomp	q14_none	q14_biological	q14_effect_response	q14_hard_soft
ECR-postdoc	spain	Europe	rivers	functional eco	multiple	OM decomposition	functional trait	biological trait	functional trait	structural measure	functional trait	ecosystem function	ecosystem function	none	no	no	no
senior researcher	spain	Europe	rivers	community eco	invertebrates	trophic	biological trait	structural measure	ecosystem function	ecosystem function	biological trait	ecosystem function	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	ponds	community eco	invertebrates	none	functional trait	functional trait	ecosystem function	dont know	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	norway	Europe	rivers	community eco	invertebrates	OM decomposition	functional trait	functional trait	ecosystem function	dont know	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	hard_soft_traits
senior researcher	spain	Europe	ponds	community eco	invertebrates	metabolism	functional trait	functional trait	dont know	functional trait	functional trait	functional trait	functional trait	any	no	effect_response_traits	no
predoctoral	spain	Europe	rivers	community eco	invertebrates	trophic	functional trait	functional trait	ecosystem function	biological trait	functional trait	biological trait	ecosystem function	none	no	no	no
predoctoral	spain	Europe	rivers	functional eco	multiple	OM decomposition	none	biological trait	functional trait	biological trait	biological trait	biological trait	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	italy	Europe	rivers	biogeochem	multiple	trophic	functional trait	functional trait	dont know	dont know	biological trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	spain	Europe	rivers	ecohydrology	none	metabolism	functional trait	biological trait	ecosystem function	structural measure	functional trait	dont know	ecosystem function	any	biological_ecological_traits	no	no
ECR-postdoc	germany	Europe	rivers	community eco	microbes	none	none	biological trait	functional trait	functional trait	biological trait	functional trait	ecosystem function	any	biological_ecological_traits	no	no
predoctoral	uk	Europe	rivers	functional eco	multiple	multifunctionality	biological trait	structural measure	ecosystem function	structural measure	biological trait	functional trait	ecosystem function	none	no	no	no
predoctoral	austria	Europe	rivers	ecohydrology	vertebrates	multifunctionality	functional trait	biological trait	biological trait	biological trait	functional trait	functional trait	functional trait	any	biological_ecological_traits	no	no
ECR-postdoc	portugal	Europe	rivers	ecohydrology	vertebrates	multifunctionality	none	biological trait	ecosystem function	functional trait	functional trait	functional trait	functional trait	any	biological_ecological_traits	no	no
predoctoral	germany	Europe	lakes reservoirs	other	macrophytes	multifunctionality	functional trait	structural measure	ecosystem function	structural measure	biological trait	functional trait	dont know	any	biological_ecological_traits	effect_response_traits	no
predoctoral	portugal	Europe	ponds	community eco	multiple	trophic	functional trait	functional trait	functional trait	functional trait	functional trait	functional trait	ecosystem function	any	biological_ecological_traits	effect_response_traits	no
